,Galaxy Name,Apparent V Magnitude,Error in Magnitude,V Band Extinction,Mean Metallicity,Error in Mean Metallicity
0,Canes Venatici I,13.1,0.2,0.043,-1.98,0.01
1,Canes Venatici II,16.1,0.5,0.027000000000000003,-2.21,0.05
2,Hercules,14.0,0.3,0.171,-2.41,0.04
3,Leo IV,15.1,0.4,0.069,-2.54,0.07
4,Sagittarius II,13.83,0.1,0.302,-2.1,0.3
5,Segue II,15.2,0.3,0.507,-2.0,0.25
6,Ursa Major I,14.4,0.3,0.054000000000000006,-2.18,0.04
7,Ursa Major II,13.3,0.5,0.257,-2.47,0.06
