Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V005,22.951733990147783,0.0825343564826188,-0.1917890270757779,0
V009,23.422507389162558,0.0825343564826188,-0.3223930472795068,1
V010,23.37116748768473,0.0825343564826188,-0.3106911408763798,2
V013,23.199960591132992,0.0825343564826188,-0.23284413391781958,3
V014,23.318019704433485,0.0825343564826188,-0.3089185078770315,4
V015,23.404108374384236,0.0825343564826188,-0.2967086218813386,5
V018,22.86497536945813,0.0825343564826188,-0.12147820449879353,6
V019,23.150556650246305,0.0825343564826188,-0.28819277095880896,7
V020,23.389339901477832,0.0825343564826188,-0.33535802444387447,8
V022,22.963044334975354,0.0825343564826188,-0.16241156176448873,9
V024,23.02731527093596,0.0825343564826188,-0.18976748200491597,10
V025,23.116113300492607,0.0825343564826188,-0.21681130892474243,11
V026,23.460246305418714,0.0825343564826188,-0.28483264215154214,12
V029,23.458068965517235,0.0825343564826188,-0.3334820194451192,13
V030,23.242152709359598,0.0825343564826188,-0.2580609222708011,14
V031,23.04189655172413,0.0825343564826188,-0.23507701535011147,15
V035,23.014093596059112,0.0825343564826188,-0.1864190114318081,16
V037,23.107389162561564,0.0825343564826188,-0.22767829327708017,17
V039,23.273019704433487,0.0825343564826188,-0.2572748686953018,18
V040,23.1491330049261,0.0825343564826188,-0.23507701535011147,19
V043,23.44110837438424,0.0825343564826188,-0.3467874862246563,20
V044,23.44684729064039,0.0825343564826188,-0.3178549236261682,21
V046,23.122231527093586,0.0825343564826188,-0.22329881601158919,22
V049,23.11545320197044,0.0825343564826188,-0.2062096153091813,23
V053,23.272689655172417,0.0825343564826188,-0.2967086218813386,24
V057,22.797256157635474,0.0825343564826188,-0.12378215940835775,25
V058,23.27463054187192,0.0825343564826188,-0.2975694635544747,26
V060,23.075221674876843,0.0825343564826188,-0.1784864715952269,27
V061,23.37832019704432,0.0825343564826188,-0.32697909287110377,28
V063,23.378177339901473,0.0825343564826188,-0.2958494831602009,29
V064,23.431438423645318,0.0825343564826188,-0.3106911408763798,30
V065,23.178133004926096,0.0825343564826188,-0.22767829327708017,31
V069,23.213852216748762,0.0825343564826188,-0.2196826878598487,32
V070,23.327039408866995,0.0825343564826188,-0.3018994543766101,33
V071,23.02505418719211,0.0825343564826188,-0.1911141326401879,34
V072,23.40343842364531,0.0825343564826188,-0.3089185078770315,35
V074,23.25096059113301,0.0825343564826188,-0.23433144524098595,36
V075,23.286640394088664,0.0825343564826188,-0.2692177243336109,37
V076,23.10818719211822,0.0825343564826188,-0.3053948010664313,38
V077,23.183783251231528,0.0825343564826188,-0.27083521030722996,39
V078,22.921512315270924,0.0825343564826188,-0.13786862068696282,40
