Star,Wesenheit Magnitude,Uncertainty in Wesenheit Magnitude,Log Period,Star Code
V001,23.40846,0.0825343564826188,-0.16115090926274472,0
V019,23.700779999999995,0.0825343564826188,-0.2041199826559248,1
V029,23.89142,0.0825343564826188,-0.23136189875238547,2
V052,23.777839999999998,0.0825343564826188,-0.19044028536473223,3
V077,23.610820000000007,0.0825343564826188,-0.16749108729376366,4
V120,23.846899999999998,0.0825343564826188,-0.20760831050174613,5
V140,23.701020000000007,0.0825343564826188,-0.21681130892474243,6
